Year,Month,EDC,price,PTC,markup,CPI,inflation_factor,real_price,real_PTC,real_markup,n_offers,weight,RT_Average,RT_Median,real_RT_Average,real_RT_Median
2017,8,APS,9.14,6.638,2.502,245.519,1.306599,11.9423,8.6732,3.2691,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,8.59,6.638,1.952,245.519,1.306599,11.2237,8.6732,2.5505,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,8.59,6.638,1.952,245.519,1.306599,11.2237,8.6732,2.5505,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,5.94,6.638,-0.698,245.519,1.306599,7.7612,8.6732,-0.912,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,7.88,6.638,1.242,245.519,1.306599,10.296,8.6732,1.6228,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,6.49,6.638,-0.148,245.519,1.306599,8.4798,8.6732,-0.1934,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,8.48,6.638,1.842,245.519,1.306599,11.08,8.6732,2.4068,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,8.98,6.638,2.342,245.519,1.306599,11.7333,8.6732,3.0601,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,8.58,6.638,1.942,245.519,1.306599,11.2106,8.6732,2.5374,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,8.98,6.638,2.342,245.519,1.306599,11.7333,8.6732,3.0601,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,6.25,6.638,-0.388,245.519,1.306599,8.1662,8.6732,-0.507,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,6.36,6.638,-0.278,245.519,1.306599,8.31,8.6732,-0.3632,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,6.62,6.638,-0.018,245.519,1.306599,8.6497,8.6732,-0.0235,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,6.29,6.638,-0.348,245.519,1.306599,8.2185,8.6732,-0.4547,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,7.39,6.638,0.752,245.519,1.306599,9.6558,8.6732,0.9826,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,8.39,6.638,1.752,245.519,1.306599,10.9624,8.6732,2.2892,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,6.79,6.638,0.152,245.519,1.306599,8.8718,8.6732,0.1986,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,6.89,6.638,0.252,245.519,1.306599,9.0025,8.6732,0.3293,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,6.99,6.638,0.352,245.519,1.306599,9.1331,8.6732,0.4599,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,8.99,6.638,2.352,245.519,1.306599,11.7463,8.6732,3.0731,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,6.6,6.638,-0.038,245.519,1.306599,8.6236,8.6732,-0.0497,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,7.1,6.638,0.462,245.519,1.306599,9.2769,8.6732,0.6036,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,DUQ,7.5,7.5333,-0.0333,245.519,1.306599,9.7995,9.843,-0.0436,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
