Year,Month,EDC,price,PTC,markup,CPI,inflation_factor,real_price,real_PTC,real_markup
2017,8,DUQ,9.3,7.5333,1.7667,245.519,1.306599,12.1514,9.843,2.3083
2017,8,DUQ,7.8,7.5333,0.2667,245.519,1.306599,10.1915,9.843,0.3484
2017,8,DUQ,7.8,7.5333,0.2667,245.519,1.306599,10.1915,9.843,0.3484
2017,8,DUQ,8.01,7.5333,0.4767,245.519,1.306599,10.4659,9.843,0.6228
2017,8,DUQ,8.22,7.5333,0.6867,245.519,1.306599,10.7402,9.843,0.8972
2017,8,DUQ,8.23,7.5333,0.6967,245.519,1.306599,10.7533,9.843,0.9103
2017,8,DUQ,8.44,7.5333,0.9067,245.519,1.306599,11.0277,9.843,1.1847
2017,8,DUQ,8.43,7.5333,0.8967,245.519,1.306599,11.0146,9.843,1.1716
2017,8,DUQ,8.43,7.5333,0.8967,245.519,1.306599,11.0146,9.843,1.1716
2017,8,DUQ,8.64,7.5333,1.1067,245.519,1.306599,11.289,9.843,1.446
2017,8,DUQ,8.32,7.5333,0.7867,245.519,1.306599,10.8709,9.843,1.0279
2017,8,DUQ,8.32,7.5333,0.7867,245.519,1.306599,10.8709,9.843,1.0279
2017,8,DUQ,8.53,7.5333,0.9967,245.519,1.306599,11.1453,9.843,1.3022
2017,8,DUQ,8.41,7.5333,0.8767,245.519,1.306599,10.9885,9.843,1.1455
2017,8,DUQ,8.42,7.5333,0.8867,245.519,1.306599,11.0016,9.843,1.1585
2017,8,DUQ,8.63,7.5333,1.0967,245.519,1.306599,11.276,9.843,1.4329
2017,8,DUQ,7.5,7.5333,-0.0333,245.519,1.306599,9.7995,9.843,-0.0436
2017,8,DUQ,7.95,7.5333,0.4167,245.519,1.306599,10.3875,9.843,0.5444
2017,8,DUQ,8.2,7.5333,0.6667,245.519,1.306599,10.7141,9.843,0.8711
2017,8,DUQ,8.25,7.5333,0.7167,245.519,1.306599,10.7794,9.843,0.9364
2017,8,DUQ,12.87,7.5333,5.3367,245.519,1.306599,16.8159,9.843,6.9729
2017,8,DUQ,7.2,7.5333,-0.3333,245.519,1.306599,9.4075,9.843,-0.4355
2017,8,DUQ,6.89,7.5333,-0.6433,245.519,1.306599,9.0025,9.843,-0.8406
2017,8,DUQ,7.49,7.5333,-0.0433,245.519,1.306599,9.7864,9.843,-0.0566
2017,8,DUQ,6.99,7.5333,-0.5433,245.519,1.306599,9.1331,9.843,-0.7099
2017,8,DUQ,7.59,7.5333,0.0567,245.519,1.306599,9.9171,9.843,0.074
2017,8,DUQ,7.69,7.5333,0.1567,245.519,1.306599,10.0478,9.843,0.2047
2017,8,DUQ,8.29,7.5333,0.7567,245.519,1.306599,10.8317,9.843,0.9887
2017,8,DUQ,8.49,7.5333,0.9567,245.519,1.306599,11.093,9.843,1.25
2017,8,DUQ,9.09,7.5333,1.5567,245.519,1.306599,11.877,9.843,2.0339
2017,8,DUQ,9.29,7.5333,1.7567,245.519,1.306599,12.1383,9.843,2.2953
2017,8,DUQ,9.89,7.5333,2.3567,245.519,1.306599,12.9223,9.843,3.0792
2017,8,DUQ,6.88,7.5333,-0.6533,245.519,1.306599,8.9894,9.843,-0.8536
2017,8,DUQ,11.75,7.5333,4.2167,245.519,1.306599,15.3525,9.843,5.5095
2017,8,DUQ,8.99,7.5333,1.4567,245.519,1.306599,11.7463,9.843,1.9033
2017,8,DUQ,8.99,7.5333,1.4567,245.519,1.306599,11.7463,9.843,1.9033
2017,8,DUQ,7.5,7.5333,-0.0333,245.519,1.306599,9.7995,9.843,-0.0436
2017,8,DUQ,8.5,7.5333,0.9667,245.519,1.306599,11.1061,9.843,1.263
2017,8,DUQ,9.3,7.5333,1.7667,245.519,1.306599,12.1514,9.843,2.3083
2017,8,DUQ,7.5,7.5333,-0.0333,245.519,1.306599,9.7995,9.843,-0.0436
2017,8,DUQ,7.95,7.5333,0.4167,245.519,1.306599,10.3875,9.843,0.5444
2017,8,DUQ,8.2,7.5333,0.6667,245.519,1.306599,10.7141,9.843,0.8711
2017,8,DUQ,8.25,7.5333,0.7167,245.519,1.306599,10.7794,9.843,0.9364
2017,8,DUQ,12.87,7.5333,5.3367,245.519,1.306599,16.8159,9.843,6.9729
2017,8,DUQ,6.89,7.5333,-0.6433,245.519,1.306599,9.0025,9.843,-0.8406
2017,8,DUQ,7.49,7.5333,-0.0433,245.519,1.306599,9.7864,9.843,-0.0566
2017,8,DUQ,6.99,7.5333,-0.5433,245.519,1.306599,9.1331,9.843,-0.7099
