Year,Month,EDC,n_offers,MeanMarkup,Variance,ShareAbovePTC,Q10,Q50,Q90
2021,10,APS,45,7.7337,5.2094,1.0,5.4118,7.685,10.573
2021,10,DUQ,52,11.5071,3.0424,1.0,10.2915,11.115,13.981
2021,10,METED,41,3.706,4.3059,0.9024,1.5031,3.9156,6.212
2021,10,PECO,66,7.1295,5.2461,1.0,5.1067,6.8349,9.9896
2021,10,PENELEC,38,3.9502,4.2245,0.9474,1.901,4.0756,6.7606
2021,10,PPL,51,4.9916,4.9522,1.0,2.2651,5.2807,7.8671
2021,11,APS,43,4.4303,5.0485,0.9767,1.9828,4.3581,7.4397
2021,11,DUQ,55,4.3014,3.4182,0.9818,2.593,4.1165,6.6833
2021,11,METED,41,4.3511,3.7262,0.9512,2.396,4.2658,6.551
2021,11,PECO,66,4.3698,7.0058,0.9848,2.1848,3.5698,6.9168
2021,11,PENELEC,37,4.4087,3.5706,0.973,2.0925,4.3154,6.993
2021,11,PPL,50,4.8237,5.1919,0.96,2.3264,4.5136,6.9338
2021,12,APS,42,4.0608,4.441,1.0,2.0257,3.854,6.7121
2021,12,DUQ,59,3.7056,3.5663,0.9831,1.9752,3.2639,5.8873
2021,12,METED,41,4.546,6.0236,1.0,2.1586,4.0111,6.7495
2021,12,PECO,71,3.6667,11.8685,0.9859,1.115,2.6108,7.2017
2021,12,PENELEC,37,5.4434,9.7704,1.0,2.5809,4.4679,8.8356
2021,12,PPL,52,2.8309,8.5012,0.9231,0.4102,2.2857,4.748
2022,1,APS,52,7.4024,3.7347,1.0,5.2185,7.416,9.7871
2022,1,DUQ,74,11.1256,3.2235,1.0,9.5465,10.6647,13.0654
2022,1,METED,46,3.8531,5.656,1.0,1.8382,3.4528,5.8489
2022,1,PECO,87,7.189,11.9253,1.0,4.4557,5.7838,10.8408
2022,1,PENELEC,42,4.8147,9.5746,1.0,2.2637,4.1738,8.1264
2022,1,PPL,59,2.8302,7.4321,0.9831,0.599,2.3014,4.8345
2022,2,APS,52,7.3946,2.5814,1.0,5.4991,7.5129,9.6985
2022,2,DUQ,68,10.8863,2.2393,1.0,9.1322,10.8961,12.8296
2022,2,METED,47,3.5338,1.6552,1.0,2.0081,3.4893,5.2283
2022,2,PECO,90,6.7422,7.6916,1.0,4.1372,5.9576,9.4741
2022,2,PENELEC,42,4.2976,2.5614,1.0,2.4683,4.707,6.1996
2022,2,PPL,61,2.8085,4.3002,1.0,0.6976,2.6198,4.7568
2022,3,APS,56,4.3946,3.0242,1.0,2.4218,4.3689,6.7678
2022,3,DUQ,68,3.8702,2.1727,0.9853,2.615,3.8346,5.7315
